Customer ID,Gender,Age,Subscription Length (Months),Monthly Charges,Total Charges,Payment Method,Contract Type,Internet Service,Customer Support Calls,Churn
CUST0001,Male,71,23,63.42,1458.66,Bank Transfer,Monthly,DSL,1,No
CUST0002,Female,34,26,81.44,2117.44,Credit Card,Monthly,DSL,3,No
CUST0003,Male,26,21,68.19,1431.99,Credit Card,Two-Year,DSL,9,No
CUST0004,Male,50,22,25.73,566.06,PayPal,Monthly,No Internet,9,Yes
CUST0005,Male,70,58,42.47,2463.26,PayPal,One-Year,Fiber Optic,8,No
CUST0006,Female,37,7,91.53,640.71,Bank Transfer,Monthly,No Internet,7,No
CUST0007,Male,30,14,79.3,1110.2,Bank Transfer,One-Year,Fiber Optic,2,No
CUST0008,Male,45,15,60.1,901.5,Credit Card,One-Year,DSL,8,No
CUST0009,Male,65,53,33.01,1749.53,PayPal,One-Year,No Internet,4,No
CUST0010,Female,46,7,37.19,260.33,Bank Transfer,One-Year,DSL,2,No
CUST0011,Male,30,9,75.88,682.92,Bank Transfer,One-Year,Fiber Optic,4,No
CUST0012,Male,63,51,86.61,4417.11,Bank Transfer,Monthly,Fiber Optic,9,No
CUST0013,Male,52,48,70.43,3380.64,Bank Transfer,One-Year,Fiber Optic,3,No
CUST0014,Male,78,8,82.86,662.88,Bank Transfer,Monthly,DSL,7,Yes
CUST0015,Female,23,50,79.0,3950.0,Bank Transfer,One-Year,Fiber Optic,4,No
CUST0016,Male,35,59,23.47,1384.73,Credit Card,Two-Year,DSL,9,No
CUST0017,Female,68,23,48.16,1107.68,PayPal,One-Year,No Internet,7,No
CUST0018,Female,22,29,23.77,689.33,PayPal,Two-Year,Fiber Optic,8,Yes
CUST0019,Female,64,18,31.17,561.06,Bank Transfer,One-Year,Fiber Optic,3,No
CUST0020,Male,42,31,88.23,2735.13,PayPal,One-Year,Fiber Optic,6,No
CUST0021,Female,19,30,52.56,1576.8,PayPal,One-Year,No Internet,1,Yes
CUST0022,Male,27,52,58.18,3025.36,PayPal,Two-Year,Fiber Optic,5,No
CUST0023,Female,73,39,26.06,1016.34,Bank Transfer,Two-Year,DSL,7,Yes
CUST0024,Female,47,35,38.1,1333.5,Bank Transfer,One-Year,DSL,6,Yes
CUST0025,Female,67,18,30.72,552.96,PayPal,Monthly,Fiber Optic,6,Yes
CUST0026,Female,76,59,28.56,1685.04,PayPal,One-Year,Fiber Optic,7,Yes
CUST0027,Female,62,42,67.42,2831.64,Bank Transfer,Two-Year,No Internet,6,No
CUST0028,Female,22,39,33.12,1291.68,Credit Card,One-Year,No Internet,4,Yes
CUST0029,Female,72,17,66.88,1136.96,PayPal,Two-Year,No Internet,6,Yes
CUST0030,Female,73,14,15.26,213.64,Credit Card,Two-Year,Fiber Optic,9,Yes
CUST0031,Male,50,31,22.76,705.56,PayPal,Two-Year,No Internet,2,Yes
CUST0032,Male,71,24,34.71,833.04,Credit Card,One-Year,No Internet,4,Yes
CUST0033,Female,18,35,63.73,2230.55,Credit Card,Two-Year,DSL,6,No
CUST0034,Female,35,44,70.83,3116.52,Credit Card,Two-Year,No Internet,8,Yes
CUST0035,Female,49,45,49.84,2242.8,Bank Transfer,One-Year,DSL,1,No
CUST0036,Male,64,34,50.12,1704.08,Credit Card,Two-Year,DSL,3,No
CUST0037,Female,66,3,75.21,225.63,Credit Card,One-Year,No Internet,6,Yes
